EventId,EventTemplate,Occurrences
09a53393,Receiving block <*> src: <*> dest: <*>,1341924
3d91fa85,BLOCK* NameSystem.allocateBlock: <*> <*>,446578
dc2c74b7,PacketResponder <*> for block <*> terminating,1339734
e3df2680,Received block <*> of size <*> from <*>,1339734
5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,1343739
d6b7b743,Received block <*> src: <*> dest: <*> of size <*>,2189
73c2ec69,<*>Transmitted block <*> to <*>,2114
75627efd,"<*> Starting thread to transfer block <*> to <*>, <*>",77
54e5f6b4,BLOCK* ask <*> to replicate <*> to datanode(s) <*> <*>,77
626085d5,<*> Served block <*> to <*>,334695
728076ac,BLOCK* ask <*> to replicate <*> to datanode(s) <*>,2038
40651754,<*> Starting thread to transfer block <*> to <*>,2038
32777b38,Verification succeeded for <*>,93605
dba996ef,Deleting block <*> file <*>,1093841
d63ef163,BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>,1091922
81cee340,<*>Got exception while serving <*> to <*>,277932
2e68ccc3,Unexpected error trying to delete block <*>. BlockInfo not found in volumeMap.,178
8f2bc724,BLOCK* NameSystem.addStoredBlock: addStoredBlock request received for <*> on <*> size <*> But it does not belong to any file.,10
c294d20f,BLOCK* NameSystem.addStoredBlock: Redundant addStoredBlock request received for <*> on <*> size <*>,3
